Position,ID,Title,Author,Score,Timestamp,TimestampText
1,"44511822","Show HN: Mini J Interpreter in Rust, vibe coded","alasarmas",1,"Wed Jul 09 2025 09:17:53 GMT-0700 (Pacific Daylight Time)","0 minutes ago"
2,"44511814","Nvidia insiders $1B stock sales","cratermoon",1,"Wed Jul 09 2025 09:16:53 GMT-0700 (Pacific Daylight Time)","1 minute ago"
3,"44511811","Miniyacc – A Lightweight Yacc for C","alabhyajindal",1,"Wed Jul 09 2025 09:16:53 GMT-0700 (Pacific Daylight Time)","1 minute ago"
4,"44511774","Niri: A scrollable-tiling Wayland compositor.","marcodiego",1,"Wed Jul 09 2025 09:12:53 GMT-0700 (Pacific Daylight Time)","5 minutes ago"
5,"44511770","The Architecture Behind Lovable and Bolt","Mernit",2,"Wed Jul 09 2025 09:12:53 GMT-0700 (Pacific Daylight Time)","5 minutes ago"
6,"44511768","No title","Bender",1,"Wed Jul 09 2025 09:12:53 GMT-0700 (Pacific Daylight Time)","5 minutes ago"
7,"44511759","US Army will end most of its horse programs and adopt out the animals","geox",3,"Wed Jul 09 2025 09:11:53 GMT-0700 (Pacific Daylight Time)","6 minutes ago"
8,"44511757","The Wild West of Agentic AI – An Attack Surface CISOs Can't Afford to Ignore","Bender",2,"Wed Jul 09 2025 09:11:53 GMT-0700 (Pacific Daylight Time)","6 minutes ago"
9,"44511756","Exploits, Technical Details Released for CitrixBleed2 Vulnerability","Bender",2,"Wed Jul 09 2025 09:11:53 GMT-0700 (Pacific Daylight Time)","6 minutes ago"
10,"44511743","Rivian spinoff Also raises another $200M","hasheddan",1,"Wed Jul 09 2025 09:09:53 GMT-0700 (Pacific Daylight Time)","8 minutes ago"
11,"44511736","Galaxy Z Fold 7: Samsung made the foldables we've been asking for","yabatopia",1,"Wed Jul 09 2025 09:09:53 GMT-0700 (Pacific Daylight Time)","8 minutes ago"
12,"44511731","Show HN: Kaiden – A chat-based health assistant you can talk to","falcon_",1,"Wed Jul 09 2025 09:08:53 GMT-0700 (Pacific Daylight Time)","9 minutes ago"
13,"44511722","Rice rebels: Research reveals grain's brewing benefits","PaulHoule",1,"Wed Jul 09 2025 09:07:53 GMT-0700 (Pacific Daylight Time)","10 minutes ago"
14,"44511703","Linda Yaccarino steps down as CEO of   X","thm",1,"Wed Jul 09 2025 09:05:53 GMT-0700 (Pacific Daylight Time)","12 minutes ago"
15,"44511701","Show HN: The Next Great Show – Discover the next generation of television","arowe",1,"Wed Jul 09 2025 09:05:53 GMT-0700 (Pacific Daylight Time)","12 minutes ago"
16,"44511695","T5Gemma: A new collection of encoder-decoder Gemma models","meetpateltech",1,"Wed Jul 09 2025 09:04:53 GMT-0700 (Pacific Daylight Time)","13 minutes ago"
17,"44511692","Show HN: Reka Research – A SOTA research agent","donovanOng",3,"Wed Jul 09 2025 09:04:53 GMT-0700 (Pacific Daylight Time)","13 minutes ago"
18,"44511668","Towards AI Agent-Driven Access to Street View Imagery for Blind Users","alwillis",1,"Wed Jul 09 2025 09:01:53 GMT-0700 (Pacific Daylight Time)","16 minutes ago"
19,"44511603","Nvidia becomes the first company to reach $4T in value","gfortaine",1,"Wed Jul 09 2025 08:55:53 GMT-0700 (Pacific Daylight Time)","22 minutes ago"
20,"44511601","Explaining assembly by playing SHENZHEN I/O [video]","aragonite",1,"Wed Jul 09 2025 08:55:53 GMT-0700 (Pacific Daylight Time)","22 minutes ago"
21,"44511575","No title","terabaapmrtv",1,"Wed Jul 09 2025 08:53:53 GMT-0700 (Pacific Daylight Time)","24 minutes ago"
22,"44511572","Browser Agents Love Graphs","epi3",1,"Wed Jul 09 2025 08:53:53 GMT-0700 (Pacific Daylight Time)","24 minutes ago"
23,"44511565","Fine-tuning NeoBERT for a multi-class text classification","eamag",1,"Wed Jul 09 2025 08:52:53 GMT-0700 (Pacific Daylight Time)","25 minutes ago"
24,"44511557","No title","isntThatSth",2,"Wed Jul 09 2025 08:52:53 GMT-0700 (Pacific Daylight Time)","25 minutes ago"
25,"44511552","No title","absoluteunit1",2,"Wed Jul 09 2025 08:52:53 GMT-0700 (Pacific Daylight Time)","25 minutes ago"
26,"44511538","Show HN: CreateMyBanner – AI-generated banners for social media","ddoemonn",1,"Wed Jul 09 2025 08:51:53 GMT-0700 (Pacific Daylight Time)","26 minutes ago"
27,"44511537","Retconning 'Russiagate': The CIA director encourages the rewriting of history","nabla9",2,"Wed Jul 09 2025 08:51:53 GMT-0700 (Pacific Daylight Time)","26 minutes ago"
28,"44511533","IBM Power11 Raises the Bar for Enterprise IT","doener",1,"Wed Jul 09 2025 08:50:53 GMT-0700 (Pacific Daylight Time)","27 minutes ago"
29,"44511527","Comet Browser by Perplexity","RobinL",1,"Wed Jul 09 2025 08:50:53 GMT-0700 (Pacific Daylight Time)","27 minutes ago"
30,"44511526","I still care about the code","zdw",2,"Wed Jul 09 2025 08:50:53 GMT-0700 (Pacific Daylight Time)","27 minutes ago"
31,"44511501","Design Considerations for an Anthropophilic Computer","chaosmachine",1,"Wed Jul 09 2025 08:47:54 GMT-0700 (Pacific Daylight Time)","30 minutes ago"
32,"44511479","These People Believe They Made AI Sentient [video]","jackdoe",1,"Wed Jul 09 2025 08:46:54 GMT-0700 (Pacific Daylight Time)","31 minutes ago"
